keyword,count,perc
access,3,0.0410958904109589
action,2,0.0273972602739726
command,1,0.0136986301369863
device,22,0.3013698630136986
display,6,0.0821917808219178
event,63,0.863013698630137
healthcare,3,0.0410958904109589
information,23,0.3150684931506849
input,4,0.0547945205479452
method,44,0.6027397260273972
monitoring,11,0.1506849315068493
patient,31,0.4246575342465753
portion,5,0.0684931506849315
processing,4,0.0547945205479452
representation,1,0.0136986301369863
screen,1,0.0136986301369863
system,41,0.5616438356164384
user,9,0.1232876712328767
care,4,0.0547945205479452
computer,10,0.136986301369863
database,9,0.1232876712328767
facility,1,0.0136986301369863
health,5,0.0684931506849315
message,1,0.0136986301369863
record,9,0.1232876712328767
rule,1,0.0136986301369863
text,4,0.0547945205479452
transaction,1,0.0136986301369863
cost,2,0.0273972602739726
generation,3,0.0410958904109589
group,3,0.0410958904109589
machine,6,0.0821917808219178
module,1,0.0136986301369863
plan,3,0.0410958904109589
prediction,3,0.0410958904109589
source,5,0.0684931506849315
store,4,0.0547945205479452
technology,4,0.0547945205479452
term,6,0.0821917808219178
application,2,0.0273972602739726
context,2,0.0273972602739726
engine,5,0.0684931506849315
example,7,0.0958904109589041
process,6,0.0821917808219178
processor,3,0.0410958904109589
case,2,0.0273972602739726
identification,7,0.0958904109589041
indicator,5,0.0684931506849315
language,1,0.0136986301369863
medication,3,0.0410958904109589
model,10,0.136986301369863
outcome,5,0.0684931506849315
presence,2,0.0273972602739726
treatment,14,0.1917808219178082
assessment,6,0.0821917808219178
assistance,2,0.0273972602739726
blood,4,0.0547945205479452
control,7,0.0958904109589041
level,5,0.0684931506849315
node,3,0.0410958904109589
platform,5,0.0684931506849315
recommendation,3,0.0410958904109589
risk,18,0.2465753424657534
server,3,0.0410958904109589
technique,8,0.1095890410958904
time,17,0.2328767123287671
document,1,0.0136986301369863
result,6,0.0821917808219178
score,7,0.0958904109589041
search,1,0.0136986301369863
claim,1,0.0136986301369863
code,1,0.0136986301369863
diagnosis,4,0.0547945205479452
drug,7,0.0958904109589041
embodiment,11,0.1506849315068493
management,7,0.0958904109589041
marker,3,0.0410958904109589
member,2,0.0273972602739726
prescription,1,0.0136986301369863
alarm,2,0.0273972602739726
apparatus,7,0.0958904109589041
area,1,0.0136986301369863
body,4,0.0547945205479452
detection,11,0.1506849315068493
detector,3,0.0410958904109589
measurement,2,0.0273972602739726
notification,7,0.0958904109589041
pressure,3,0.0410958904109589
condition,9,0.1232876712328767
determination,4,0.0547945205479452
status,3,0.0410958904109589
analysis,8,0.1095890410958904
attribute,4,0.0547945205479452
decision,5,0.0684931506849315
output,7,0.0958904109589041
target,6,0.0821917808219178
interaction,1,0.0136986301369863
interface,4,0.0547945205479452
selection,3,0.0410958904109589
set,3,0.0410958904109589
alert,3,0.0410958904109589
function,5,0.0684931506849315
report,3,0.0410958904109589
aspect,1,0.0136986301369863
combination,6,0.0821917808219178
entity,2,0.0273972602739726
field,1,0.0136986301369863
intervention,3,0.0410958904109589
relationship,1,0.0136986301369863
task,1,0.0136986301369863
use,5,0.0684931506849315
algorithm,2,0.0273972602739726
hospital,1,0.0136986301369863
parameter,6,0.0821917808219178
room,1,0.0136986301369863
sensor,8,0.1095890410958904
support,3,0.0410958904109589
compliance,1,0.0136986301369863
plurality,13,0.1780821917808219
determine,7,0.0958904109589041
indication,5,0.0684931506849315
infusion,1,0.0136986301369863
operation,3,0.0410958904109589
probability,3,0.0410958904109589
response,8,0.1095890410958904
circuit,4,0.0547945205479452
criterion,4,0.0547945205479452
heart,5,0.0684931506849315
query,1,0.0136986301369863
signal,5,0.0684931506849315
location,6,0.0821917808219178
person,2,0.0273972602739726
quality,3,0.0410958904109589
range,2,0.0273972602739726
agent,1,0.0136986301369863
measure,2,0.0273972602739726
population,1,0.0136986301369863
value,5,0.0684931506849315
position,1,0.0136986301369863
network,2,0.0273972602739726
amount,1,0.0136986301369863
brain,1,0.0136986301369863
index,2,0.0273972602739726
invention,6,0.0821917808219178
perform,2,0.0273972602739726
resource,2,0.0273972602739726
sample,2,0.0273972602739726
communication,5,0.0684931506849315
instruction,1,0.0136986301369863
station,1,0.0136986301369863
tag,1,0.0136986301369863
tool,2,0.0273972602739726
transmit,1,0.0136986301369863
type,4,0.0547945205479452
unit,2,0.0273972602739726
delivery,1,0.0136986301369863
factor,2,0.0273972602739726
insulin,1,0.0136986301369863
subject,4,0.0547945205479452
disease,3,0.0410958904109589
period,3,0.0410958904109589
multi,1,0.0136986301369863
order,3,0.0410958904109589
test,1,0.0136986301369863
map,1,0.0136986301369863
protocol,1,0.0136986301369863
storage,3,0.0410958904109589
form,1,0.0136986301369863
medium,4,0.0547945205479452
sequence,3,0.0410958904109589
view,1,0.0136986301369863
monitor,3,0.0410958904109589
provider,3,0.0410958904109589
generate,3,0.0410958904109589
number,3,0.0410958904109589
step,1,0.0136986301369863
memory,1,0.0136986301369863
basis,2,0.0273972602739726
change,1,0.0136986301369863
effect,3,0.0410958904109589
comparison,1,0.0136986301369863
series,3,0.0410958904109589
cause,2,0.0273972602739726
image,1,0.0136986301369863
section,1,0.0136986301369863
label,1,0.0136986301369863
vector,1,0.0136986301369863
component,1,0.0136986301369863
reference,1,0.0136986301369863
classification,2,0.0273972602739726
content,1,0.0136986301369863
evaluation,1,0.0136986301369863
mechanism,1,0.0136986301369863
administration,1,0.0136986301369863
controller,2,0.0273972602739726
profile,2,0.0273972602739726
candidate,2,0.0273972602739726
cell,1,0.0136986301369863
entry,1,0.0136986301369863
item,1,0.0136986301369863
circuitry,1,0.0136986301369863
structure,1,0.0136986301369863
frame,1,0.0136986301369863
interest,1,0.0136986301369863
region,1,0.0136986301369863
product,1,0.0136986301369863
program,1,0.0136986301369863
request,1,0.0136986301369863
activity,1,0.0136986301369863
rate,1,0.0136986301369863
cancer,1,0.0136986301369863
part,1,0.0136986301369863
therapy,1,0.0136986301369863
equipment,1,0.0136986301369863
disorder,1,0.0136986301369863
feature,1,0.0136986301369863
