keyword,count,perc
device,15,0.3409090909090909
diagnosis,3,0.06818181818181818
display,5,0.11363636363636363
embodiment,8,0.18181818181818182
field,3,0.06818181818181818
form,2,0.045454545454545456
healthcare,4,0.09090909090909091
information,44,1.0
input,3,0.06818181818181818
interface,8,0.18181818181818182
list,1,0.022727272727272728
medication,6,0.13636363636363635
output,3,0.06818181818181818
prescription,4,0.09090909090909091
processor,7,0.1590909090909091
provider,2,0.045454545454545456
treatment,2,0.045454545454545456
user,18,0.4090909090909091
computer,9,0.20454545454545456
management,2,0.045454545454545456
profile,1,0.022727272727272728
program,7,0.1590909090909091
server,6,0.13636363636363635
service,3,0.06818181818181818
site,1,0.022727272727272728
source,6,0.13636363636363635
system,32,0.7272727272727273
report,2,0.045454545454545456
risk,1,0.022727272727272728
care,2,0.045454545454545456
code,1,0.022727272727272728
identification,8,0.18181818181818182
method,29,0.6590909090909091
order,1,0.022727272727272728
subject,3,0.06818181818181818
use,3,0.06818181818181818
access,6,0.13636363636363635
end,2,0.045454545454545456
engine,4,0.09090909090909091
function,3,0.06818181818181818
plurality,8,0.18181818181818182
portion,4,0.09090909090909091
security,2,0.045454545454545456
condition,5,0.11363636363636363
determine,3,0.06818181818181818
medium,7,0.1590909090909091
patient,6,0.13636363636363635
application,5,0.11363636363636363
request,4,0.09090909090909091
storage,5,0.11363636363636363
structure,2,0.045454545454545456
acquisition,2,0.045454545454545456
apparatus,10,0.22727272727272727
examination,3,0.06818181818181818
image,5,0.11363636363636363
location,4,0.09090909090909091
support,2,0.045454545454545456
caregiver,1,0.022727272727272728
comparison,1,0.022727272727272728
control,3,0.06818181818181818
environment,3,0.06818181818181818
member,1,0.022727272727272728
operation,2,0.045454545454545456
product,6,0.13636363636363635
response,5,0.11363636363636363
result,2,0.045454545454545456
rule,1,0.022727272727272728
case,1,0.022727272727272728
language,2,0.045454545454545456
module,2,0.045454545454545456
period,1,0.022727272727272728
time,4,0.09090909090909091
combination,3,0.06818181818181818
view,1,0.022727272727272728
aspect,2,0.045454545454545456
decision,2,0.045454545454545456
example,3,0.06818181818181818
group,1,0.022727272727272728
item,2,0.045454545454545456
knowledge,1,0.022727272727272728
presence,1,0.022727272727272728
provide,1,0.022727272727272728
state,3,0.06818181818181818
therapy,1,0.022727272727272728
volume,1,0.022727272727272728
machine,1,0.022727272727272728
software,1,0.022727272727272728
store,3,0.06818181818181818
amount,1,0.022727272727272728
basis,2,0.045454545454545456
data,1,0.022727272727272728
parameter,1,0.022727272727272728
type,1,0.022727272727272728
capture,1,0.022727272727272728
dosage,1,0.022727272727272728
file,1,0.022727272727272728
generate,3,0.06818181818181818
pharmacy,1,0.022727272727272728
processing,8,0.18181818181818182
transmission,2,0.045454545454545456
claim,1,0.022727272727272728
disclosure,1,0.022727272727272728
entity,1,0.022727272727272728
part,1,0.022727272727272728
text,1,0.022727272727272728
invention,5,0.11363636363636363
signal,2,0.045454545454545456
process,1,0.022727272727272728
selection,3,0.06818181818181818
target,1,0.022727272727272728
unit,7,0.1590909090909091
point,1,0.022727272727272728
communication,4,0.09090909090909091
contact,1,0.022727272727272728
modality,1,0.022727272727272728
person,2,0.045454545454545456
node,1,0.022727272727272728
health,4,0.09090909090909091
body,2,0.045454545454545456
determination,2,0.045454545454545456
identifier,1,0.022727272727272728
circuitry,1,0.022727272727272728
distribution,2,0.045454545454545456
feedback,1,0.022727272727272728
sensor,3,0.06818181818181818
database,4,0.09090909090909091
sign,1,0.022727272727272728
performance,1,0.022727272727272728
representation,1,0.022727272727272728
generation,1,0.022727272727272728
network,1,0.022727272727272728
accordance,1,0.022727272727272728
container,2,0.045454545454545456
schedule,1,0.022727272727272728
memory,3,0.06818181818181818
activity,1,0.022727272727272728
cause,1,0.022727272727272728
controller,1,0.022727272727272728
disease,1,0.022727272727272728
change,1,0.022727272727272728
value,2,0.045454545454545456
emergency,1,0.022727272727272728
analysis,1,0.022727272727272728
housing,1,0.022727272727272728
remote,1,0.022727272727272728
notification,1,0.022727272727272728
configuration,1,0.022727272727272728
entry,1,0.022727272727272728
measurement,1,0.022727272727272728
protocol,1,0.022727272727272728
resonance,1,0.022727272727272728
technique,1,0.022727272727272728
